iter	Passed	Remaining
487	624	655
488	625	653
489	626	652
490	627	650
491	628	649
492	629	647
493	630	646
494	631	644
495	632	643
496	633	641
497	635	640
498	636	638
499	637	637
500	638	636
501	639	634
502	641	633
503	642	632
504	644	631
505	645	630
506	646	628
507	647	627
508	649	626
509	650	624
510	651	623
511	652	621
512	653	620
513	655	619
514	656	618
515	658	617
516	660	617
517	661	615
518	663	614
519	664	613
520	666	612
521	667	611
522	668	610
523	669	608
524	671	607
525	672	605
526	673	604
527	675	603
528	676	602
529	677	600
530	678	599
531	679	598
532	681	596
533	682	595
534	683	593
535	684	592
536	685	591
537	686	589
538	687	588
539	688	586
540	690	585
541	691	584
542	692	583
543	693	581
544	694	580
545	695	578
546	697	577
547	698	575
548	699	574
549	700	573
550	701	572
551	703	570
552	704	569
553	705	568
554	706	566
555	707	565
556	709	563
557	710	562
558	711	561
559	712	559
560	713	558
561	714	557
562	716	555
563	717	554
564	718	553
565	719	551
566	720	550
567	721	548
568	722	547
569	723	545
570	724	544
571	725	543
572	726	541
573	728	540
574	729	539
575	730	537
576	731	536
577	732	534
578	733	533
579	734	532
580	736	530
581	737	529
582	738	528
583	739	526
584	740	525
585	741	524
586	743	522
587	744	521
588	745	519
589	746	518
590	747	517
591	749	516
592	750	514
593	751	513
594	752	512
595	753	510
596	754	509
597	756	508
598	757	506
599	758	505
600	760	504
601	761	503
602	762	502
603	763	500
604	764	499
605	766	498
606	767	496
607	768	495
608	769	493
609	770	492
610	771	491
611	772	490
612	774	488
613	776	487
614	777	486
615	778	485
616	779	484
617	780	482
618	781	481
619	783	479
620	784	478
621	785	477
622	786	476
623	788	474
624	789	473
625	790	472
626	791	471
627	793	469
628	794	468
629	795	467
630	796	465
631	798	464
632	799	463
633	800	462
634	801	460
635	802	459
636	803	457
637	804	456
638	805	455
639	806	453
640	808	452
641	809	451
642	810	449
643	811	448
644	812	447
645	813	445
646	814	444
647	816	443
648	817	442
649	818	440
650	819	439
651	820	438
652	821	436
653	823	435
654	824	434
655	825	432
656	826	431
657	827	430
658	828	428
659	829	427
660	831	426
661	832	424
662	833	423
663	834	422
664	835	420
665	836	419
666	837	418
667	839	417
668	840	415
669	841	414
670	842	413
671	843	411
672	844	410
673	845	409
674	847	407
675	848	406
676	849	405
677	850	403
678	851	402
679	852	401
680	854	400
681	855	398
682	856	397
683	857	396
684	858	394
685	860	393
686	861	392
687	862	391
688	863	389
689	865	388
690	866	387
691	867	386
692	868	384
693	869	383
694	871	382
695	872	381
696	873	379
697	875	378
698	876	377
699	877	376
700	878	374
701	880	373
702	881	372
703	882	370
704	883	369
705	884	368
706	885	366
707	886	365
708	887	364
709	888	363
710	890	361
711	891	360
712	892	359
713	893	357
714	895	356
715	896	355
716	897	354
717	898	353
718	899	351
719	900	350
720	902	349
721	903	347
722	904	346
723	905	345
724	906	344
725	908	342
726	909	341
727	910	340
728	911	338
729	912	337
730	913	336
731	914	334
732	916	333
733	917	332
734	918	331
735	919	329
736	920	328
737	921	327
738	922	325
739	924	324
740	925	323
741	926	322
742	927	320
743	928	319
744	929	318
745	930	316
746	931	315
747	933	314
748	934	313
749	935	311
750	936	310
751	937	309
752	939	308
753	940	306
754	941	305
755	942	304
756	943	302
757	944	301
758	945	300
759	947	299
760	948	297
761	949	296
762	950	295
763	951	293
764	952	292
765	953	291
766	954	290
767	955	288
768	956	287
769	957	286
770	959	284
771	960	283
772	961	282
773	962	281
774	963	279
775	964	278
776	966	277
777	967	275
778	968	274
779	969	273
780	970	272
781	971	270
782	972	269
783	974	268
784	975	267
785	976	265
786	977	264
787	979	263
788	980	262
789	982	261
790	983	259
791	984	258
792	986	257
793	987	256
794	988	254
795	989	253
796	990	252
797	992	251
798	993	249
799	994	248
800	995	247
801	997	246
802	998	244
803	999	243
804	1000	242
805	1001	241
806	1003	239
807	1004	238
808	1005	237
809	1006	236
810	1007	234
811	1009	233
812	1010	232
813	1011	231
814	1012	229
815	1014	228
816	1015	227
817	1016	226
818	1018	225
819	1019	223
820	1021	222
821	1022	221
822	1024	220
823	1025	219
824	1027	217
825	1028	216
826	1029	215
827	1030	214
828	1031	212
829	1033	211
830	1034	210
831	1035	209
832	1036	207
833	1037	206
834	1039	205
835	1040	204
836	1041	202
837	1042	201
838	1043	200
